"tipo_unidade";"orgao";"nome";"logradouro";"complemento";"bairro";"responsavel";"telefone";"celular";"turno_manha";"turno_tarde";"turno_noite";"turno_integral";"turno_detalhe";"servicos";"situacao";"coordenada"
"Escolas";"S. M. de Educação e Desporto                      ";"Colégio Municipal Pelotense";"R  Marcílio Dias";"1597";"Centro";"Arthur da Silva Katrein";"3272-2499";"9104-2221";1;1;1;0;"";"Atendimento a alunos de Educação Infantil, Ensino Fundamental (1º ao 9º ano e  8ª série), Ensino Médio, Curso Normal e Complementação de Estudos, PEJA (Programa de Educação par a Jovens e Adultos), Pós Médio em Educação Infantil.";"Próprio";"-31.7594682771000000,-52.3462978874000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Afonso Vizeu";"R  Francisco Moreira";"285";"Areal";"Alessandra Z. Gusmão";"32280697";"84116218";1;1;0;0;"Manhã do pré ao 5° 7° 8° e 9°tarde pré ao 5° 6° 7°";"Atendimento a alunos de Educação Infantil e Ensino Fundamental (Pré 1º ao 4º ano e 4ª a 8ª série e 9° ano).";"Próprio";"-31.7557359901000000,-52.3144541945000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Almirante José Saldanha  da Gama";"R  José Faustini";"341";"Areal";"Miriam Schuwanz Oliveira";"32288040";"81250525";1;1;1;0;"";"Atendimento a alunos de Educação Infantil, Ensino Fundamental (1º ao 4º ano e 4ª a 8ª série) e PEJA (Programa de Educação para Jovens e Adultos) e Eja.";"Próprio";"-31.7445713866000000,-52.3169610192000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Almirante Raphael Brusque";"DIS  Colônia Z3";"61";"Zona Rural";"Vera Lubke Garcez";"32260144";"81295895";1;1;1;0;"";"Atendimento a alunos de Educação Infantil, Ensino Fundamental (Pré a 8ª série) e PEJA (Programa de Educação para Jovens e Adultos)";"Próprio";"-31.69728564230091, -52.15764228789368"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Antonio  Joaquim  Dias";"DIS  Cidade De Lisboa";"2640";"Fragata";"Michele Ferlusa";"32710300";"9148-6595";1;1;0;0;"";"Atendimento a alunos de Educação Infantil e Ensino Fundamental (1º ao 4º ano e 4ª 9° ano série).";"Próprio";"-31.728193320127946, -52.40580852855834"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Antônio Ronna";"R  Princesa";"3155";"Três Vendas";"Adelino Penedo";"3278-0731";"3227-4506";1;1;1;0;"";"Atendimento a alunos de Educação Infantil, Ensino Fundamental (1º ao 4º ano e 4ª a 8ª série) e PEJA (Programa de Educação para Jovens e Adultos)";"Próprio";"-31.6525139162000000,-52.3335297692000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Balbino Mascarenhas";"R Jorn Candido Augusto De Mello";"415";"Fragata";"Denise Lima";"32225216";"8422-1260";1;1;1;0;"";"Atendimento a alunos de Educação Infantil, Ensino Fundamental (1º ao 4º ano e 4ª a 8ª série) e PEJA (Programa de Educação para Jovens e Adultos).";"Próprio";"-31.7695282412000000,-52.3552012867000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Bibiano de Almeida";"AV  Paz";"80";"Areal";"Renata Langlois Massaro";"32284128";"81130445";1;1;1;0;"";"Atendimento a alunos de Educação Infantil, Ensino Fundamental (1º ao 4º ano e 4ª a 9°ano) e PEJA (Programa de Educação para Jovens e Adultos).";"Próprio";"-31.7555177694000000,-52.3178070491000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Bruno Chaves";"R Dq Estrada Da  Hidraúlica";"s/nº ";"Zona Rural";"Zelaine Brum Sant'Ana ";"4141-1924";"81182771";1;1;0;0;"";"Atendimento a alunos de Educação Infantil e Ensino Fundamental (Pré a 9ª ano)";"Próprio";"-31.67969899901962, -52.504652681824496"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Carlos Laquintinie";"Pç  Domingos Rodrigues - Pça";"04";"Centro";"Andréa Silva dos Santos";"3222-1095";"81125890";1;1;0;0;"";"Atendimento a alunos do Ensino Fundamental (1º ao 4º ano e 4ª a 9ª ano).";"Próprio";"-31.7809781246000000,-52.3349441984000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Cecília  Meireles";"R Prof Souza Lobo;Prof";"439";"Areal";"Karla Frio";"32284022";"8452-0242";1;1;1;0;"";"Atendimento a alunos de Educação Infantil, Ensino Fundamental (1º ao 4º ano e 4ª a 9° ano) ";"Próprio";"-31.7509491225000000,-52.3234895941000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Cel. Alberto Rosa";"AV  Corrientes - Col";"s/nº";"Zona Rural";"Loivamar dos Santos Radkte ";"32771134";"81196141";1;1;1;0;"";"Atendimento a alunos de Educação Infantil, Ensino Fundamental (Pré a 9ª ano) e EJA (Programa de Educação para Jovens e Adultos).";"Próprio";"-31.466540247745794, -52.21545079581301"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Círculo  Operário  Pelotense";"R  Guararapes";"50";"Areal";"Catiusse Xavier";"32783904";"99875046";1;1;0;0;"";"Atendimento a alunos de Educação Infantil e Ensino Fundamental (1º ao 4º ano e 4ª a 8ª série).";"Alugado";"-31.7553066, -52.33024590000002"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Dom Francisco de Campos Barreto";"R  Triunfo - Col";"2257";"Laranjal";"Isabel Cristina Mota da Silva";"32263122";"981263635";1;1;0;0;"";"Atendimento a alunos de Educação Infantil e Ensino Fundamental (1º ao 4º ano e 4ª a 8ª série).";"Próprio";"-31.7707681943000000,-52.2319486957000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Dona  Maria Antônia";"R  Vinte E Cinco De Julho-Av";"2501";"Três Vendas";"Rosângela Rodrigues Pereira";"39216185";"9100-6171";1;1;0;0;"";"Atendimento a alunos do Ensino Fundamental (pré a 5ª série)";"Próprio";"-31.7152145986000000,-52.3648421349000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Dona Maria Joaquina";"DIS  Cerrito Alegre - Estr";"s/nº";"Zona Rural";"Ana Maria Figueiredo Góris Madruga";"32239037";"83316800";1;1;0;0;"";"Atendimento a alunos de Educação Infantil e Ensino Fundamental (Pré a 8ª série).";"Próprio";"-31.590638058777984, -52.3498562653553"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Dona Mariana  Eufrásia";"AV Dq Duque De Caxias";"900";"Fragata";"Maria Elisabete Aires";"32211250";"9983-2900";1;1;1;0;"";"Atendimento a alunos do Ensino Fundamental (1º ao 4º ano e 4ª a 8ª série)e PEJA (Programa de Educação para Jovens e Adultos).";"Próprio";"-31.7558055183000000,-52.3847671462000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Dr. Alcides de Mendonça Lima";"R Pe Diogo Feijó";"213";"Fragata";"Rejane Victória Burguez";"32811794";"8408-0039";1;1;1;0;"";"Atendimento a alunos de Educação Infantil, Ensino Fundamental (1º ao 4º ano e 4ª a 8ª série) e PEJA (Programa de Educação para Jovens e Adultos).";"Próprio";"-31.7599230585000000,-52.3755524268000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Dr. Berchon";"DIS  Cerrito Alegre - Estr";"s/nº";"Zona Rural";"Evanir Uarth Fassbender ";"32774145";"99822846";1;1;0;0;"";"Atendimento a alunos do Ensino Fundamental (1ª  8ª série).";"Próprio";"-31.519837,-52.279652"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Dr. Brum de Azeredo";"R Gen Manoel Lucas De Lima;Gen";"1290";"Fragata";"Glauce Rogéria Veber Sievert";"32210807";"8118-9830";1;1;0;0;"";"Atendimento a alunos de Educação Infantil e Ensino Fundamental (1º ao 4º ano e 4ª a 8ª série).";"Próprio";"-31.7619704054000000,-52.3701318368000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Dr. Joaquim Assumpção";"R  Barroso; Alm";"1679";"Centro";"Leda Pistoletti Dias ";"32222553";"8436-5904";1;1;1;0;"";"Atendimento a alunos de Educação Infantil, Ensino Fundamental (1º ao 4º ano e 4ª a 8ª série) e PEJA (Programa de Educação para Jovens e Adultos).";"Próprio";"-31.7722657456000000,-52.3379845597000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Dr. Mario Meneghetti";"R  Quatro Ltm Getulio Vargas";"575";"Três Vendas";"Raquel Fraga Vieiras";"32737420";"9193-1816";1;1;1;0;"";"Atendimento a alunos de Educação Infantil e Ensino Fundamental (1º ao 4º ano e 4ª a 8ª série). totalizando 1027 alunos.";"Próprio";"-31.700786, -52.310253"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Erasmo  Braga";"DIS  Quilombo - Col";"s/nº";"Zona Rural";"Maria Cristina Silva";"8427-4782";"8427-4782";1;1;0;0;"";"Atendimento a alunos do Ensino Fundamental (Pré ao 4º ano)";"Próprio";"-31.533445,-52.466323"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Evaristo da  Veiga";"DIS  Sexto Dis Sta Silvana";"";"Zona Rural";"Erotildes Jacquot Gonçalves";"84274782";"84274782";1;1;0;0;"";"Atendimento a alunos do Ensino Fundamental (1º a 4º ano)";"Próprio";""
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Ferreira  Vianna";"R  Itália";"86";"Centro";"Margarete Brum de Armas ";"32222544";"32791124 Res";1;1;1;0;"";"Atendimento a alunos de Educação Infantil (1º ao 4º ano e 4ª a 8ª série), Ensino Fundamental e PEJA (Programa de Educação para Jovens e Adultos)";"Próprio";"-31.7785601786000000,-52.3225084808000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Francisco  Caruccio";"R  Leopoldo Brod";"3220";"Três Vendas";"Alexandre Lemos Vieira";"32736100";"9108-7095";1;1;1;0;"";"Atendimento a alunos da Educação Infantil, Ensino Fundamental (1º ao 4º ano e 4ª a 8ª série) e PEJA (Programa de Educação de Jovens e Adultos)";"Próprio";"-31.706069869168754, -52.3237955446358"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Frederico  Ozanan";"AV  Zeferino Costa";"S/N";"Três Vendas";"Maria Angélica Bandeira de Moura";"3227-0702";"8407-1266";1;1;0;0;"";"Atendimento a alunos de Educação Infantil (1º ao 4º ano e 4ª a 7ª série) e Ensino Fundamental";"Cedido União";"-31.7193975293000000,-52.3349022509000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Garibaldi";"DIS  Colonia Maciel Oitavo";"s/nº";"Zona Rural";"Graciana Bierhals Roloff";"32246106";"8157-4653";1;1;1;0;"";"Atendimento a alunos do Ensino Fundamental (1ª a 8ª série) e PEJA (Programa de ducação para Jovens e Adultos).";"Próprio";"-31.504571,-52.586619"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Henrique Peter";"DIS  Silvana;Sta - Col";"";"Zona Rural";"Veridiana Weinert";"81237889";"8122-0111";1;1;0;0;"";"Atendimento a alunos do Ensino Fundamental (1º ao 4º ano)";"Próprio";""
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Honorina Torres";"DIS  Cerrito Alegre - Estr";"";"Zona Rural";"Noeli Weber Soares ";"8139-7843";"8139-7843";1;1;0;0;"";"Atendimento a alunos do Ensino Fundamental (1º ao 4º ano)";"Alugado";""
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Independência";"";"535";"Três Vendas";"Iara Regina Alves Nickel ";"32789305";"81354263";1;1;1;0;"";"Atendimento a alunos de Educação Infantil, Ensino Fundamental (1º ao 4º ano e 4ª a 8ª série) e PEJA (Programa de Educação de Jovens e Adultos)";"Próprio";"-31.6906193121000000,-52.3566155658000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Jacob Brod";"AV  Fernando Osorio";"5.413";"Três Vendas";"Maria Auxiliadora Lopes Mandagará";"3273-9700";"8427-9148";1;1;0;0;"";"Atendimento a alunos de Ensino Fundamental (1º ao 4º ano e 4ª a 6ª série) totalizando  675 alunos

construção de pavilhão e 3 salas";"Próprio";"-31.6888320350000000,-52.3391812853000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Jeremias  Fróes";"R  João Manoel";"107";"Centro";"Patricia Duarte M. Silva";"32250335";"8426-6506";1;1;0;0;"";"Atendimento a alunos de Educação Infantil e Ensino Fundamental (1º ao 4º ano e 4ª a 8ª série)";"Alugado";"-31.7810829710000000,-52.3436735797000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. João da Silva Silveira";"DIS  Monte Bonito - Estr";"";"Zona Rural";"Ricardo da Silva Moreira";"32773339";"81190283";1;1;1;0;"";"Atendimento a alunos de Educação Infantil, Ensino Fundamental (Pré a 8ª séie) e PEJA (Programa de Educação para Jovens e Adultos)";"Próprio";"-31.648796, -52.405798"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. João José de Abreu";"Pç Cons Maciel";"";"Zona Rural";"Fernando Abib Burckert ";"8459-0509";"99889463";1;1;0;0;"";"Atendimento a alunos de Educação Infantil e Ensino Fundamental";"Próprio";"-31.431332,-52.530868"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Joaquim Nabucco";"R Mons Silvano De Souza;Mons";"36";"Areal";"Tânia Maria Sanches da Cunha ";"32289788";"8424-5110";1;1;0;0;"";"Atendimento a alunos de Educação Infantil e Ensino Fundamental (1º ao 4º ano e 4ª e 5ª séries)";"Próprio";"-31.7407164779000000,-52.3223585854000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Jornalista  Deogar  Soares";"R  Vinte, Lotm Dunas, R";"17";"Areal";"Nara Lisete da Rocha Pereira";"3228 6443";"9927-4449";1;1;0;0;"";"Atendimento a alunos de Educação Infantil e Ensino Fundamental (1º ao 4º ano e 4ª a 8ª série)";"Próprio";"-31.7478667867000000,-52.3093129581000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Júlio de Castilhos";"Pç Cons Maciel";"";"Zona Rural";"Elizandra Könzgen";"8447-6469";"8447-6469";1;1;0;0;"";"Atendimento a alunos do Ensino Fundamental (1º ao 4º ano)";"Próprio";"-31.459581,-52.556843"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Lima e Silva";"R  Triunfo - Col";"";"Zona Rural";"Helia Bubolz  Alves ";"81111064";"81111064";1;1;0;0;"";"Atendimento a alunos do Ensino Fundamental (Pré Escolar ao 4º ano)";"Próprio";"-31.408981,-52.441406"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Luciana de Araújo";"R  Voluntários Da Pátria";"1757";"Centro";"Simone de Ávila Tomaschewski";"32257799";"91610110";1;1;0;0;"";"Atendimento a alunos de Educação Infantil e Ensino Fundamental (1º ao 4º ano e 4ª e 5ª séries)";"Próprio";"-31.7638563004000000,-52.3487070990000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Luiz Augusto de Assumpção";"Pç  Aratiba - Pça";"281";"Laranjal";"Jaqueline da Rosa Pereira";"32269666";"9147-2940";1;1;1;0;"";"Atendimento a alunos de Educação Infantil, Ensino Fundamental (1º ao 4º ano e 4ª a 8ª série) e PEJA (Programa de Educação para Jovens e Adultos)";"Próprio";"-31.7347716497000000,-52.2123840282000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Machado de Assis";"AV  Fernando Osorio";"2835";"Três Vendas";"Marcia Souza da Rosa";"32276921";"8422-8861";1;1;0;0;"";"Alunos de Educação Infantil e Ensino Fundamental (1º ao 4º ano e 4ª série)";"Próprio";""
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Márcio Dias";"DIS  Segundo";"s/n";"Zona Rural";"Geremias de Oliveira Steinle";"32239020";"81129325";1;1;0;0;"";"Atendimento a alunos do Ensino Fundamental (1º ao 5º ano)";"Próprio";"-31.614872050206106, -52.29247404189431"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Ministro Arthur de Souza Costa";"DIS  Cascata - Col";"";"Zona Rural";"Marcia Elaine Bender";"32775365";"9989-5991";1;1;0;0;"";"Atendimento a alunos de Educação Infantil e Ensino Fundamental (Pré Escola a 8ª série)";"Próprio";""
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Ministro Fernando Osório";"AV  Fernando Osorio";"1522";"Três Vendas";"Viviane Bento de Aldeia";"32230390";"9168-1781";1;1;1;0;"";"Atendimento a alunos de Educação Infantil, Ensino Fundamental (1º ao 4º ano e 4ª a 8ª série) e PEJA (Programa de Educação para Jovens e Adultos)";"Próprio";"-31.7366538998000000,-52.3438965938000000"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Nestor Elizeu Crochemore";"DIS  Quilombo - Col";"";"Zona Rural";"Lia Simoni Leock Noveline";"32247272";"8451-5570";1;1;0;0;"";"Atendimentos a alunos de Pré-escola e Ensino Fundamental (Pré a 8ª série)";"Próprio";"-31.542651543298465, -52.46479123104859"
"Escolas";"S. M. de Educação e Desporto                      ";"E.M.E.F. Nossa Senhora  das Dores";"AV  Cristóvão José Dos Santos";"308";"Três Vendas";"Leila Cristina dos Anjos";"32232828";"9178-3123";1;1;0;0;"";"Atendimento a alunos de Educação Infantil e Ensino Fundamental (1º ao 4º ano e 4ª e 5ª série)";"Próprio";"-31.7319648579000000,-52.3302257812000000"
